,rank,name,net_worth (in billion $),age,country / territory,source,industry
637,636,Ian Livingstone,4.3,60.0,United Kingdom,Real estate,Real Estate
638,636,Johnelle Hunt,4.3,91.0,United States,Trucking,Logistics
639,636,Wang Junshi & family,4.3,74.0,China,Solar inverters,Manufacturing
640,636,Hu Kaijun,4.3,61.0,China,Pharmaceuticals,Healthcare
641,636,Frank Wang,4.3,42.0,China,Drones,Technology
642,636,Jose E. Feliciano,4.3,49.0,United States,Private equity,Finance & Investments
643,636,Richard Tsai,4.3,65.0,Taiwan,Finance,Finance & Investments
644,636,Juan Carlos Escotet,4.3,63.0,Venezuela,Banking,Finance & Investments
645,636,Daniel Tsai,4.3,66.0,Taiwan,Finance,Finance & Investments
646,636,Behdad Eghbali,4.3,46.0,United States,Private equity,Finance & Investments
647,636,Jon Stryker,4.3,64.0,United States,Medical equipment,Healthcare
648,636,Patrick Drahi,4.3,59.0,France,Telecom,Telecom
649,636,Pham Nhat Vuong,4.3,54.0,Vietnam,Diversified,Diversified
650,636,Jay Paul,4.3,75.0,United States,Real estate,Real Estate
651,636,Gwendolyn Sontheim Meyer,4.3,61.0,United States,Cargill,Food & Beverage
652,636,Richard Livingstone,4.3,58.0,United Kingdom,Real estate,Real Estate
653,636,Daryl Katz,4.3,61.0,Canada,Pharmacies,Diversified
654,636,Herbert Wertheim,4.3,83.0,United States,Investments,Finance & Investments
655,636,Marian Ilitch,4.3,90.0,United States,Little Caesars Pizza,Food & Beverage
656,636,Wang Wenjing,4.3,58.0,China,Business software,Technology
657,636,Andrei Kozitsyn,4.3,62.0,Russia,Metals,Metals & Mining
658,659,Pyotr Aven,4.2,68.0,Russia,"Oil, banking, telecom",Finance & Investments
659,659,Lynsi Snyder,4.2,40.0,United States,In-N-Out Burger,Food & Beverage
660,659,Chan Laiwa & family,4.2,82.0,China,Real estate,Real Estate
661,659,Djoko Susanto,4.2,73.0,Indonesia,Supermarkets,Fashion & Retail
662,659,Chen Hua,4.2,57.0,China,Real estate,Real Estate
663,659,Tahir & family,4.2,71.0,Indonesia,Diversified,Diversified
664,659,Michael Moritz,4.2,68.0,United States,Venture capital,Technology
665,659,Lin Li,4.2,59.0,China,Investments,Finance & Investments
666,659,Lin Bin,4.2,55.0,United States,Smartphones,Technology
667,659,Eric Lefkofsky,4.2,53.0,United States,"Groupon, investments",Technology
668,659,Marc Ladreit de Lacharriere,4.2,82.0,France,Finance,Finance & Investments
669,659,Min Kao & family,4.2,74.0,United States,Navigation equipment,Technology
670,659,Dewi Kam,4.2,72.0,Indonesia,Coal,Energy
671,659,"Rupert Johnson, Jr.",4.2,82.0,United States,Franklin Templeton,Finance & Investments
672,659,Thomas Hagen,4.2,87.0,United States,Insurance,Finance & Investments
673,659,Peter Thiel,4.2,55.0,United States,"Facebook, investments",Finance & Investments
674,659,E. Joe Shoen,4.2,73.0,United States,U-Haul,Automotive
675,659,Jean (Gigi) Pritzker,4.2,60.0,United States,"Hotels, investments",Service
676,659,Shari Arison,4.2,65.0,Israel,Carnival Cruises,Service
677,659,Jeff Skoll,4.2,58.0,United States,EBay,Technology
678,679,Mary Alice Dorrance Malone,4.1,73.0,United States,Campbell Soup,Food & Beverage
679,679,Joao Moreira Salles,4.1,61.0,Brazil,"Banking, minerals",Diversified
680,679,Walther Moreira Salles Junior,4.1,66.0,Brazil,"Banking, minerals",Finance & Investments
681,679,Antti Herlin,4.1,66.0,Finland,"Elevators, escalators",Manufacturing
682,679,Luca Garavoglia,4.1,54.0,Italy,Spirits,Food & Beverage
683,679,Scott Cook,4.1,70.0,United States,Software,Technology
684,679,John Catsimatidis,4.1,74.0,United States,"Oil, real estate",Energy
685,679,Liangzhi Xie & family,4.1,57.0,China,Biotech,Healthcare
686,679,Nick Caporella,4.1,87.0,United States,Beverages,Food & Beverage
687,679,Ken Xie,4.1,60.0,United States,Cybersecurity,Technology
688,679,Hubert Burda,4.1,83.0,Germany,Publishing,Media & Entertainment
689,679,Kerry Stokes,4.1,82.0,Australia,"Construction equipment, media",Diversified
690,679,Danielle Bellon & family,4.1,83.0,France,Food services,Service
691,679,Donald Sterling,4.1,88.0,United States,Real estate,Real Estate
692,679,Andrej Babis,4.1,68.0,Czech Republic,Agriculture,Food & Beverage
693,679,Peter Spuhler,4.1,63.0,Switzerland,Train cars,Manufacturing
694,679,Arturo Moreno,4.1,76.0,United States,"Billboards, Los Angeles Angels",Sports
695,679,"Jeremy Jacobs, Sr. & family",4.1,83.0,United States,Food service,Service
696,679,Hong Jie,4.1,55.0,China,Paint,Manufacturing
697,679,Igor Kesaev,4.1,56.0,Russia,"Tobacco distribution, retail",Fashion & Retail
698,699,Travis Kalanick,4.0,46.0,United States,Uber,Technology
699,699,Zhang Daocai,4.0,73.0,China,Valves,Diversified
700,699,Koon Poh Keong,4.0,61.0,Malaysia,Aluminum,Manufacturing
701,699,Dan Kurzius,4.0,51.0,United States,Email marketing,Technology
702,699,Elisabeth DeLuca & family,4.0,75.0,United States,Subway,Food & Beverage
703,699,Steven Spielberg,4.0,76.0,United States,Movies,Media & Entertainment
704,699,Ben Chestnut,4.0,48.0,United States,Email marketing,Technology
705,699,Shaul Shani,4.0,68.0,Israel,Telecom,Telecom
706,699,Sid Bass,4.0,80.0,United States,"Oil, investments",Energy
707,699,"Bernard Saul, II.",4.0,90.0,United States,"Banking, real estate",Finance & Investments
708,699,Isaac Perlmutter,4.0,80.0,United States,Marvel comics,Media & Entertainment
709,699,Rakesh Mittal,4.0,67.0,India,Telecom,Telecom
710,699,Rajan Mittal,4.0,63.0,India,Telecom,Telecom
711,699,Gail Miller,4.0,79.0,United States,Car dealerships,Automotive
712,699,Tobi Lutke,4.0,42.0,Canada,E-commerce,Technology
713,699,Paul Lee,4.0,65.0,United States,Battery separators,Manufacturing
714,699,Vinod Rai Gupta,4.0,77.0,India,Electrical equipment,Manufacturing
715,699,Torbjorn Tornqvist,4.0,69.0,Sweden,Oil trading,Energy
716,699,Guangchang Guo,4.0,56.0,China,Conglomerate,Diversified
717,699,Jerzy Starak,4.0,75.0,Poland,Pharmaceuticals,Healthcare
718,699,John Henry,4.0,73.0,United States,Sports,Sports
719,699,Rufino Vigil Gonzalez,4.0,74.0,Mexico,Steel,Metals & Mining
720,721,Fernando Roberto Moreira Salles,3.9,76.0,Brazil,"Banking, minerals",Diversified
721,721,Juergen Blickle,3.9,76.0,Germany,Auto parts,Manufacturing
722,721,Pedro Moreira Salles,3.9,63.0,Brazil,"Banking, minerals",Diversified
723,721,"Austen Cargill, II.",3.9,72.0,United States,Cargill,Food & Beverage
724,721,Gabe Newell,3.9,60.0,United States,Videogames,Gambling & Casinos
725,721,James Irsay,3.9,63.0,United States,Indianapolis Colts,Sports
726,721,Yu Renrong,3.9,57.0,China,Semiconductors,Manufacturing
727,721,W. Herbert Hunt,3.9,94.0,United States,Oil,Energy
728,721,Wu Yiling,3.9,73.0,China,Pharmaceuticals,Healthcare
729,721,Guenther Fielmann & family,3.9,83.0,Germany,Optometry,Healthcare
730,721,Nusli Wadia,3.9,79.0,India,Consumer goods,Food & Beverage
731,721,Giuseppe De'Longhi & family,3.9,83.0,Italy,Coffee makers,Fashion & Retail
732,721,Tsai Hong-tu,3.9,70.0,Taiwan,Finance,Finance & Investments
733,721,Kenneth Dart,3.9,67.0,Belize,Investments,Finance & Investments
734,721,Mark Stevens,3.9,63.0,United States,Venture capital,Finance & Investments
735,721,Mong-Koo Chung,3.9,85.0,South Korea,Hyundai,Automotive
736,721,Ruan Hongliang & family,3.9,62.0,China,Glass,Manufacturing
737,721,Dongsheng Chen,3.9,65.0,China,Insurance,Finance & Investments
738,721,Julia Oetker,3.9,44.0,Germany,Consumer goods,Fashion & Retail
739,721,Vanich Chaiyawan,3.9,91.0,Thailand,"Insurance, beverages",Finance & Investments
740,721,Carl Ferdinand Oetker,3.9,50.0,Germany,Consumer goods,Fashion & Retail
741,721,"James Cargill, II.",3.9,73.0,United States,Cargill,Food & Beverage
742,721,Alfred Oetker,3.9,56.0,Germany,Consumer goods,Fashion & Retail
743,721,Marianne Liebmann,3.9,69.0,United States,Cargill,Food & Beverage
745,721,Zhu Baoguo & family,3.9,60.0,China,Pharmaceuticals,Healthcare
746,721,Jorge Moll Filho & family,3.9,78.0,Brazil,Hospitals,Healthcare
747,748,Barry Diller,3.8,81.0,United States,Online media,Media & Entertainment
748,748,Richard Uihlein,3.8,77.0,United States,Packaging materials,Manufacturing
749,748,Wesley Edens,3.8,61.0,United States,Investments,Finance & Investments
750,748,Stephen Feinberg,3.8,63.0,United States,Private equity,Finance & Investments
751,748,Su Qingcan,3.8,54.0,China,Healthcare,Healthcare
752,748,Yasumitsu Shigeta,3.8,58.0,Japan,Mobile phone retailer,Telecom
753,748,Trevor Rees-Jones,3.8,71.0,United States,Oil & gas,Energy
754,748,Chandru Raheja,3.8,82.0,India,Real estate,Real Estate
755,748,"H. Ross Perot, Jr.",3.8,64.0,United States,Real estate,Real Estate
756,748,Li Xiang,3.8,41.0,China,Electric vehicles,Automotive
757,748,Martha Ingram & family,3.8,87.0,United States,"Book distribution, transportation",Media & Entertainment
758,748,Joseph Grendys,3.8,61.0,United States,Poultry processing,Food & Beverage
759,748,Rakesh Gangwal,3.8,69.0,United States,Airline,Service
760,748,Rahul Bhatia,3.8,63.0,India,Aviation,Service
761,748,Steven Udvar-Hazy,3.8,77.0,United States,Aircraft leasing,Service
762,748,Tsai Cheng-ta,3.8,73.0,Taiwan,Finance,Finance & Investments
763,748,Francesco Gaetano Caltagirone,3.8,80.0,Italy,"Cement, diversified",Construction & Engineering
764,748,Elizabeth Uihlein,3.8,77.0,United States,Packaging materials,Manufacturing
765,766,Horst Paulmann & family,3.7,88.0,Chile,Retail,Fashion & Retail
766,766,Hayes Barnard,3.7,51.0,United States,Fintech,Finance & Investments
767,766,Anthony Pritzker,3.7,62.0,United States,"Hotels, investments",Service
768,766,William Berkley,3.7,76.0,United States,Insurance,Finance & Investments
769,766,John Sall,3.7,75.0,United States,Software,Technology
770,766,Mikhail Lomtadze,3.7,47.0,Georgia,Fintech,Finance & Investments
771,766,Richard LeFrak & family,3.7,77.0,United States,Real estate,Real Estate
772,766,Jim Kavanaugh,3.7,60.0,United States,IT provider,Technology
773,766,Jason Jiang,3.7,50.0,China,Advertising,Media & Entertainment
774,766,Ji Qi,3.7,56.0,China,"Hotels, motels",Real Estate
775,766,Brad Jacobs,3.7,66.0,United States,Logistics,Logistics
776,766,Wang Yanqing & family,3.7,56.0,China,Electrical equipment,Manufacturing
777,766,Huang Li,3.7,59.0,China,Imaging systems,Technology
778,766,Yitzhak Tshuva,3.7,74.0,Israel,Real estate,Real Estate
779,766,Yakir Gabay,3.7,56.0,Cyprus,Real estate,Real Estate
780,766,Richard Schulze,3.7,82.0,United States,Best Buy,Fashion & Retail
781,766,Charles Cohen,3.7,71.0,United States,Real estate,Real Estate
782,766,Howard Schultz,3.7,69.0,United States,Starbucks,Food & Beverage
783,766,Shigenobu Nagamori,3.7,78.0,Japan,Motors,Manufacturing
784,766,Tom Morris,3.7,68.0,United Kingdom,Retail,Fashion & Retail
785,766,Daniel Och,3.7,62.0,United States,Hedge funds,Finance & Investments
786,787,Pansy Ho,3.6,60.0,Hong Kong,Casinos,Gambling & Casinos
787,787,Samuel Tak Lee,3.6,83.0,Hong Kong,Real estate,Real Estate
788,787,Alan Howard,3.6,59.0,United Kingdom,Hedge funds,Finance & Investments
789,787,Edwin Leong,3.6,71.0,Hong Kong,Real estate,Real Estate
790,787,Zeng Fangqin,3.6,57.0,China,Smartphone components,Technology
791,787,Huang Yi,3.6,61.0,Hong Kong,Car dealerships,Automotive
792,787,"Stephen Mandel, Jr.",3.6,67.0,United States,Hedge funds,Finance & Investments
793,787,Zhang Jian,3.6,54.0,China,"Electric bikes, scooters",Manufacturing
794,787,Nicolas D'Ieteren,3.6,47.0,Belgium,"Auto parts, distribution",Automotive
795,787,Lawrence Stroll,3.6,63.0,Canada,Fashion investments,Fashion & Retail
796,787,Jim Coulter,3.6,63.0,United States,Private equity,Finance & Investments
797,787,Jerry Speyer,3.6,82.0,United States,Real estate,Real Estate
798,787,Leonid Boguslavsky,3.6,71.0,Canada,Venture capital,Finance & Investments
799,787,Juan Roig,3.6,73.0,Spain,Supermarkets,Fashion & Retail
800,787,Sanjiv Bajaj,3.6,53.0,India,Diversified,Diversified
801,787,J.B. Pritzker,3.6,58.0,United States,"Hotels, investments",Finance & Investments
802,787,Rajiv Bajaj,3.6,56.0,India,Diversified,Diversified
803,787,Melanie Perkins,3.6,35.0,Australia,Software,Technology
804,787,Cliff Obrecht,3.6,37.0,Australia,Software,Technology
805,787,Josh Kushner,3.6,37.0,United States,Venture capital,Finance & Investments
806,787,Masahiro Noda,3.6,84.0,Japan,Software,Technology
807,787,Vyacheslav Kim,3.6,53.0,Kazakhstan,Fintech,Finance & Investments
808,787,Masahiro Miki,3.6,67.0,Japan,Shoes,Fashion & Retail
809,787,Peter Kellogg,3.6,80.0,United States,Investments,Finance & Investments
810,787,Mohamed Mansour,3.6,75.0,Egypt,Diversified,Diversified
811,787,Bob Gaglardi,3.6,82.0,Canada,Hotels,Real Estate
812,787,Wang Junlin,3.6,60.0,China,Liquor,Food & Beverage
813,787,Beatriz Davila de Santo Domingo,3.6,84.0,Colombia,Beer,Food & Beverage
814,787,Tung Chee Chen,3.6,80.0,Hong Kong,Shipping,Logistics
815,787,Jaime Gilinski Bacal,3.6,65.0,Colombia,Banking,Finance & Investments
816,787,Xia Zuoquan,3.6,61.0,China,"Automobiles, batteries",Automotive
817,818,Fan Daidi,3.5,57.0,China,Skincare,Fashion & Retail
818,818,Thomas Siebel,3.5,70.0,United States,Business software,Technology
819,818,Peter Gassner,3.5,58.0,United States,Software,Technology
820,818,Wim van der Leegte & family,3.5,75.0,Netherlands,Manufacturing,Manufacturing
821,818,Mikhail Gutseriev,3.5,65.0,Russia,"Oil, coal, real estate",Energy
822,818,Xiao Yongming & family,3.5,58.0,China,Fertilizer,Diversified
823,818,Luca Del Vecchio,3.5,21.0,Italy,Eyeglasses,Fashion & Retail
824,818,Remo Ruffini,3.5,61.0,Italy,Winter jackets,Fashion & Retail
825,818,Leonardo Maria Del Vecchio,3.5,27.0,Italy,Eyeglasses,Fashion & Retail
826,818,Arkady Rotenberg,3.5,71.0,Russia,"Construction, pipes, banking",Construction & Engineering
827,818,Clemente Del Vecchio,3.5,18.0,Italy,Eyeglases,Fashion & Retail
828,818,Dirk Rossmann & family,3.5,76.0,Germany,Drugstores,Fashion & Retail
829,818,Claudio Del Vecchio,3.5,66.0,Italy,Eyeglasses,Fashion & Retail
830,818,Ira Rennert,3.5,88.0,United States,Investments,Finance & Investments
831,818,Daniel D'Aniello,3.5,76.0,United States,Private equity,Finance & Investments
832,818,Prasert Prasarttong-Osoth,3.5,90.0,Thailand,Hospitals,Healthcare
833,818,Giuseppe Crippa & family,3.5,87.0,Italy,Microchip testing,Manufacturing
834,818,Margarita Louis-Dreyfus & family,3.5,60.0,Switzerland,Commodities,Food & Beverage
835,818,Barry Zekelman,3.5,56.0,Canada,Steel,Manufacturing
836,818,Fashu Chen,3.5,62.0,China,Investments,Finance & Investments
837,818,Daniel Loeb,3.5,61.0,United States,Hedge funds,Finance & Investments
838,818,Nicoletta Zampillo,3.5,65.0,Italy,Eyeglasses,Fashion & Retail
839,818,Maurizio Billi,3.5,65.0,Brazil,Generic drugs,Healthcare
840,818,Leng Youbin,3.5,54.0,China,Infant formula,Food & Beverage
841,818,Yang Shaopeng,3.5,65.0,China,Shipping,Logistics
842,818,Rocco Basilico,3.5,33.0,Italy,Eyeglasses,Fashion & Retail
843,818,Patrick Lee,3.5,81.0,Hong Kong,Paper,Manufacturing
844,818,Michael Xie,3.5,54.0,United States,Cybersecurity,Technology
845,818,Paola Del Vecchio,3.5,61.0,Italy,Eyeglasses,Fashion & Retail
846,818,Vivek Chaand Sehgal,3.5,66.0,Australia,Auto parts,Automotive
847,818,Marisa Del Vecchio,3.5,64.0,Italy,Eyeglasses,Fashion & Retail
849,818,Walter P.J. Droege,3.5,70.0,Germany,Investing,Finance & Investments
850,818,Scott Shleifer,3.5,45.0,United States,Private equity,Finance & Investments
851,852,Alessandra Garavoglia,3.4,63.0,Italy,Spirits,Food & Beverage
852,852,Yi Zheng,3.4,52.0,China,Software,Technology
853,852,Laurence Graff & family,3.4,84.0,United Kingdom,Diamond jewelry,Fashion & Retail
854,852,Eric Yuan & family,3.4,53.0,United States,Zoom Video Communications,Technology
855,852,"Amos Hostetter, Jr.",3.4,86.0,United States,Cable television,Media & Entertainment
856,852,Charles Zegar,3.4,75.0,United States,Bloomberg LP,Media & Entertainment
857,852,Acharya Balkrishna,3.4,50.0,India,Consumer goods,Food & Beverage
858,852,Leena Tewari,3.4,65.0,India,Pharmaceuticals,Healthcare
859,852,Ramon Ang,3.4,69.0,Philippines,Diversified,Food & Beverage
860,852,Herb Simon,3.4,88.0,United States,Real estate,Real Estate
861,852,Igor Altushkin,3.4,52.0,Russia,Metals,Metals & Mining
862,852,J. Joe Ricketts & family,3.4,81.0,United States,TD Ameritrade,Finance & Investments
863,852,Somphote Ahunai,3.4,55.0,Thailand,Renewable energy,Energy
864,852,Bob Parsons,3.4,72.0,United States,Web hosting,Technology
865,852,William Ackman,3.4,56.0,United States,Hedge funds,Finance & Investments
866,852,Hiroshi Mikitani,3.4,58.0,Japan,Online retail,Fashion & Retail
867,852,John Middleton,3.4,68.0,United States,Tobacco,Food & Beverage
868,852,William Lauder,3.4,62.0,United States,Estee Lauder,Fashion & Retail
869,852,Steven Klinsky,3.4,66.0,United States,Investments,Finance & Investments
870,852,"Robert ""Woody"" Johnson",3.4,75.0,United States,"Johnson & Johnson, sports",Sports
871,852,Richard Branson,3.4,72.0,United Kingdom,Virgin,Diversified
872,852,Hans Peter Wild,3.4,81.0,Switzerland,Flavorings,Food & Beverage
873,852,Markus Blocher,3.4,52.0,Switzerland,Chemicals,Manufacturing
874,852,Stefan von Holtzbrinck,3.4,59.0,Germany,Publishing,Media & Entertainment
875,852,Cho Jung-ho,3.4,64.0,South Korea,Finance,Finance & Investments
876,852,Wu Guanjiang & family,3.4,54.0,China,Pharmaceuticals,Healthcare
877,878,Arnon Milchan,3.3,78.0,Israel,Movie making,Media & Entertainment
878,878,Akio Nitori,3.3,79.0,Japan,Home furnishings,Fashion & Retail
879,878,Julio Ponce Lerou,3.3,77.0,Chile,Fertilizer,Metals & Mining
880,878,John Gandel,3.3,88.0,Australia,Shopping malls,Real Estate
881,878,Carl Thoma,3.3,74.0,United States,Investments,Finance & Investments
882,878,Fu Liquan & family,3.3,55.0,China,Surveillance equipment,Technology
883,878,Jeffrey Talpins,3.3,48.0,United States,Hedge fund,Finance & Investments
884,878,Walter Frey,3.3,79.0,Switzerland,Car dealerships,Automotive
885,878,Nik Storonsky,3.3,38.0,United Kingdom,Fintech,Finance & Investments
886,878,Walter Faria,3.3,68.0,Brazil,Beer,Food & Beverage
887,878,Stephen Smith,3.3,71.0,Canada,Finance and investments,Finance & Investments
888,878,Bennett Dorrance,3.3,77.0,United States,Campbell Soup,Food & Beverage
889,878,Gil Shwed,3.3,54.0,Israel,Software,Technology
890,878,Chen Shibin,3.3,56.0,China,Quartz products,Manufacturing
891,878,Neil Shen,3.3,55.0,Hong Kong,Venture capital,Finance & Investments
892,878,Bill Austin,3.3,81.0,United States,Hearing aids,Manufacturing
893,878,Naguib Sawiris,3.3,68.0,Egypt,Telecom,Telecom
894,878,John Arnold,3.3,49.0,United States,Hedge funds,Finance & Investments
895,878,Phil Ruffin,3.3,88.0,United States,"Casinos, real estate",Diversified
896,878,Mohed Altrad,3.3,75.0,France,"Scaffolding, cement mixers",Construction & Engineering
897,878,Rodger Riney & family,3.3,77.0,United States,Discount brokerage,Finance & Investments
898,878,Kwek Leng Beng,3.3,82.0,Singapore,Diversified,Diversified
899,878,Xue Hua,3.3,53.0,China,Agribusiness,Manufacturing
900,878,Peter Gilgan,3.3,72.0,Canada,Homebuilding,Construction & Engineering
901,878,Todd Wanek,3.3,59.0,United States,Furniture,Manufacturing
902,878,Pablo Legorreta,3.3,59.0,United States,Investments,Finance & Investments
903,878,Takao Yasuda,3.3,73.0,Japan,Retail,Fashion & Retail
904,905,Karen Virginia Beckmann Legoretta,3.2,53.0,Mexico,Tequila,Food & Beverage
905,905,Luciano Hang,3.2,60.0,Brazil,Department stores,Fashion & Retail
906,905,Klaus-Peter Schulenberg,3.2,71.0,Germany,Ticketing service,Service
907,905,Giuliana Benetton,3.2,85.0,Italy,"Fashion retail, investments",Fashion & Retail
908,905,Michael Hintze,3.2,69.0,Australia,Investment,Finance & Investments
909,905,Lynn Schusterman,3.2,84.0,United States,"Oil & gas, investments",Energy
910,905,Luciano Benetton,3.2,87.0,Italy,"Fashion retail, investments",Fashion & Retail
911,905,Hu Baifan,3.2,60.0,China,Pharmaceuticals,Healthcare
912,905,Isabella Seràgnoli,3.2,77.0,Italy,Packaging,Manufacturing
913,905,David Filo,3.2,56.0,United States,Yahoo,Technology
914,905,Roger Penske,3.2,86.0,United States,Cars,Automotive
915,905,Steve Wynn,3.2,81.0,United States,"Casinos, hotels",Gambling & Casinos
916,905,Charles Ergen,3.2,70.0,United States,Satellite TV,Media & Entertainment
917,905,Geoffrey Palmer,3.2,72.0,United States,Real estate,Real Estate
918,905,Wu Shaoxun,3.2,67.0,China,Wine,Food & Beverage
919,905,Dong Jinggui,3.2,53.0,China,Electric scooters,Automotive
920,905,Aristotelis Mistakidis,3.2,61.0,Greece,"Mining, commodities",Metals & Mining
921,905,Vincent Viola,3.2,67.0,United States,Electronic trading,Finance & Investments
922,905,Gustavo Denegri & family,3.2,86.0,Italy,Biotech,Healthcare
923,905,Sudhir Mehta,3.2,68.0,India,"Pharmaceuticals, power",Healthcare
924,905,Udo Tschira,3.2,53.0,Germany,Software,Technology
925,905,Antonio Del Valle Ruiz & family,3.2,84.0,Mexico,Chemicals,Manufacturing
926,905,Samir Mehta,3.2,59.0,India,"Pharmaceuticals, power",Healthcare
927,905,Harald Tschira,3.2,48.0,Germany,Software,Technology
928,905,Brunello Cucinelli & family,3.2,69.0,Italy,Fashion,Fashion & Retail
929,905,Liang Feng,3.2,54.0,China,Manufacturing,Manufacturing
930,905,Roman Trotsenko,3.2,52.0,Russia,"Transport, engineering, real estate",Logistics
931,905,Chen Kaixuan,3.2,64.0,China,Household chemicals,Manufacturing
932,905,Li Liangbin,3.2,55.0,China,Lithium,Manufacturing
933,905,Pat Stryker,3.2,66.0,United States,Medical equipment,Healthcare
934,905,Ron Burkle,3.2,70.0,United States,"Supermarkets, investments",Finance & Investments
935,905,Lee Boo-jin,3.2,52.0,South Korea,Samsung,Technology
936,905,Warren Stephens,3.2,66.0,United States,Investment banking,Finance & Investments
937,905,Arun Bharat Ram,3.2,82.0,India,Chemicals,Manufacturing
938,905,Hamilton James & family,3.2,71.0,United States,Investments,Finance & Investments
939,905,Shen Guojun,3.2,60.0,China,Retail,Fashion & Retail
940,905,Sergei Galitsky,3.2,55.0,Russia,Retail,Fashion & Retail
941,905,David Rubenstein,3.2,73.0,United States,Private equity,Finance & Investments
942,905,Zhou Bajin,3.2,87.0,China,Auto parts,Manufacturing
943,905,Lindsay Fox,3.2,85.0,Australia,"Logistics, real estate",Logistics
944,905,Ravi Pillai,3.2,69.0,India,Construction,Construction & Engineering
945,905,Jon Yarbrough,3.2,65.0,United States,Video games,Gambling & Casinos
946,905,Senapathy Gopalakrishnan,3.2,67.0,India,Software services,Technology
947,905,Hilton Schlosberg,3.2,70.0,United Kingdom,Energy drinks,Food & Beverage
948,949,John Coates,3.1,53.0,United Kingdom,Online gambling,Gambling & Casinos
949,949,Yin Yee Lee,3.1,71.0,China,Glass,Manufacturing
950,949,Frank VanderSloot,3.1,74.0,United States,"Nutrition, wellness products",Fashion & Retail
951,949,Ryan Cohen,3.1,37.0,Canada,Investments,Finance & Investments
952,949,Vladimir Litvinenko & family,3.1,67.0,Russia,Chemical industry,Manufacturing
953,949,Yoo Jung-hyun,3.1,53.0,South Korea,Online games,Media & Entertainment
954,949,Deng Wen,3.1,55.0,China,Flavorings,Food & Beverage
955,949,Daniel Mate,3.1,59.0,Spain,"Mining, commodities",Metals & Mining
956,949,Miguel Krigsner,3.1,73.0,Brazil,Cosmetics,Fashion & Retail
957,949,Renzo Rosso & family,3.1,67.0,Italy,Fashion,Fashion & Retail
958,949,Bertil Hult,3.1,82.0,Sweden,Education,Service
959,949,Theodore Rachmat,3.1,79.0,Indonesia,Diversified,Diversified
960,949,Reed Hastings,3.1,62.0,United States,Netflix,Technology
961,949,Penny Pritzker,3.1,63.0,United States,"Hotels, investments",Finance & Investments
962,949,Jeff T. Green,3.1,46.0,United States,Digital advertising,Media & Entertainment
963,949,Sergei Popov,3.1,51.0,Russia,Banking,Finance & Investments
964,949,Sergei Gordeev,3.1,50.0,Russia,Real estate,Real Estate
965,949,Katharina Otto-Bernstein,3.1,59.0,Germany,Real estate,Real Estate
966,949,Charles Edelstenne,3.1,85.0,France,Aviation,Manufacturing
967,949,Or Wai Sheun,3.1,71.0,Hong Kong,Real estate,Real Estate
968,949,Martin Ebner,3.1,77.0,Switzerland,Investments,Finance & Investments
969,949,Jonathan Nelson,3.1,66.0,United States,Private equity,Finance & Investments
970,949,Kuldip Singh Dhingra,3.1,75.0,India,Paints,Manufacturing
971,949,Farhad Moshiri,3.1,67.0,United Kingdom,Diversified,Diversified
972,949,Gurbachan Singh Dhingra,3.1,72.0,India,Paints,Manufacturing
973,949,Ravi Modi,3.1,46.0,India,Readymade garments,Fashion & Retail
974,949,Aerin Lauder,3.1,52.0,United States,Estee Lauder,Fashion & Retail
975,949,Rita Tong Liu,3.1,74.0,Hong Kong,Real estate,Real Estate
976,949,Kuok Khoon Hong,3.1,73.0,Singapore,Palm oil,Manufacturing
977,949,Friede Springer,3.1,80.0,Germany,Publishing,Media & Entertainment
978,949,Cho Tak Wong,3.1,76.0,Hong Kong,Auto parts,Manufacturing
979,949,Sheldon Lavin,3.1,90.0,United States,Meat processing,Food & Beverage
980,949,Timur Turlov,3.1,35.0,Kazakhstan,Stock brokerage,Finance & Investments
981,982,Catheline Perier D'Ieteren,3.0,78.0,Belgium,"Auto parts, distribution",Automotive
982,982,Carlos Hank Rhon,3.0,75.0,Mexico,Banking,Diversified
983,982,"Edward DeBartolo, Jr.",3.0,76.0,United States,Shopping centers,Real Estate
984,982,Susan Carol Holland,3.0,66.0,Italy,Hearing aids,Manufacturing
985,982,Robert Sands,3.0,64.0,United States,Liquor,Food & Beverage
987,982,Stephen Deckoff,3.0,57.0,United States,Private equity,Finance & Investments
988,982,Hui Ka Yan,3.0,64.0,China,Real estate,Real Estate
989,982,Erik Selin,3.0,55.0,Sweden,Real estate,Real Estate
990,982,Todd Christopher,3.0,60.0,United States,Hair care products,Fashion & Retail
991,982,John Paulson,3.0,67.0,United States,Hedge funds,Finance & Investments
992,982,Zhu Gongshan & family,3.0,65.0,China,Solar panel materials,Manufacturing
994,982,Maja Oeri,3.0,68.0,Switzerland,Pharmaceuticals,Healthcare
995,982,Lei Zhang,3.0,50.0,China,Investments,Finance & Investments
996,982,Jean-Pierre Cayard,3.0,80.0,France,Spirits,Food & Beverage
997,982,Gilles Martin,3.0,59.0,France,Laboratory services,Healthcare
998,982,Ye Xiaoping,3.0,60.0,China,Pharmaceuticals,Healthcare
999,982,Cai Dongchen,3.0,70.0,China,Pharmaceuticals,Healthcare
1000,982,Harsh Mariwala,3.0,71.0,India,Consumer goods,Food & Beverage
1001,982,Gang Ye,3.0,42.0,Singapore,Gaming,Media & Entertainment
